adduser	3.118ubuntu2
ros-foxy-ament-cmake-libraries	0.9.12-1focal.20230527.033319
ros-foxy-ament-cmake-lint-cmake	0.9.8-1focal.20230527.034543
ros-foxy-ament-cmake-pep257	0.9.8-1focal.20230527.034930
ros-foxy-ament-cmake-pytest	0.9.12-1focal.20230527.033236
ros-foxy-ament-cmake-python	0.9.12-1focal.20230527.033035
ros-foxy-ament-cmake-ros	0.9.2-1focal.20230527.035553
ros-foxy-ament-cmake-target-dependencies	0.9.12-1focal.20230527.033419
ros-foxy-ament-cmake-test	0.9.12-1focal.20230527.033100
ros-foxy-ament-cmake-uncrustify	0.9.8-1focal.20230527.035043
ros-foxy-ament-cmake-version	0.9.12-1focal.20230527.033033
ros-foxy-ament-cmake-xmllint	0.9.8-1focal.20230527.035101
ros-foxy-ament-copyright	0.9.8-1focal.20230527.033845
ros-foxy-ament-cppcheck	0.9.8-1focal.20230527.033020
ros-foxy-ament-cpplint	0.9.8-1focal.20230527.033950
ros-foxy-ament-flake8	0.9.8-1focal.20230527.033314
ros-foxy-ament-index-cpp	1.1.0-1focal.20230527.035619
ros-foxy-ament-index-python	1.1.0-1focal.20230527.034456
ros-foxy-ament-lint	0.9.8-1focal.20230527.033147
ros-foxy-ament-lint-auto	0.9.8-1focal.20230527.033240
ros-foxy-ament-lint-cmake	0.9.8-1focal.20230527.034500
ros-foxy-ament-lint-common	0.9.8-1focal.20230527.035135
ros-foxy-ament-package	0.9.5-1focal.20210422.230933
ros-foxy-ament-pep257	0.9.8-1focal.20230527.033555
ros-foxy-ament-uncrustify	0.9.8-1focal.20230527.034525
ros-foxy-ament-xmllint	0.9.8-1focal.20230527.033925
ros-foxy-builtin-interfaces	1.0.0-1focal.20230527.043831
ros-foxy-class-loader	2.0.3-1focal.20230527.040750
ros-foxy-common-interfaces	2.0.5-1focal.20230527.053021
ros-foxy-composition-interfaces	1.0.0-1focal.20230527.044949
ros-foxy-console-bridge-vendor	1.2.4-1focal.20230527.035859
ros-foxy-cv-bridge	3.0.7-1focal.20230527.052309
ros-foxy-diagnostic-msgs	2.0.5-1focal.20230527.050830
ros-foxy-domain-coordinator	0.9.2-1focal.20230527.033942
ros-foxy-eigen3-cmake-module	0.1.1-1focal.20230527.035045
ros-foxy-fastcdr	1.0.13-1focal.20230527.033018
ros-foxy-fastrtps	2.1.4-1focal.20230527.035957
ros-foxy-fastrtps-cmake-module	1.0.4-1focal.20230527.035710
ros-foxy-foonathan-memory-vendor	1.2.0-1focal.20230527.035512
ros-foxy-geometry-msgs	2.0.5-1focal.20230527.045912
ros-foxy-geometry2	0.13.14-1focal.20230606.035309
ros-foxy-gmock-vendor	1.8.9001-1focal.20230527.033129
ros-foxy-gtest-vendor	1.8.9001-1focal.20230527.033021
ros-foxy-kdl-parser	2.4.1-2focal.20230527.040709
ros-foxy-launch	0.10.10-1focal.20230527.034732
ros-foxy-launch-ros	0.11.7-1focal.20230527.051922
ros-foxy-launch-testing	0.10.10-1focal.20230527.034909
ros-foxy-launch-testing-ament-cmake	0.10.10-1focal.20230527.035604
ros-foxy-launch-testing-ros	0.11.7-1focal.20230527.052148
ros-foxy-launch-xml	0.10.10-1focal.20230527.034905
ros-foxy-launch-yaml	0.10.10-1focal.20230527.034936
ros-foxy-libstatistics-collector	1.0.2-1focal.20230527.051045
ros-foxy-libyaml-vendor	1.0.4-1focal.20230527.040802
ros-foxy-lifecycle-msgs	1.0.0-1focal.20230527.044041
ros-foxy-message-filters	3.2.7-1focal.20230606.033844
ros-foxy-nav-msgs	2.0.5-1focal.20230527.050829
ros-foxy-orocos-kdl	3.3.5-1focal.20230527.035509
ros-foxy-osrf-pycommon	0.1.11-1focal.20230527.033202
ros-foxy-pcl-conversions	2.2.1-1focal.20230606.034434
ros-foxy-pcl-msgs	1.0.0-2focal.20230527.052541
ros-foxy-pluginlib	2.5.4-1focal.20230527.040908
ros-foxy-python-cmake-module	0.8.1-1focal.20230527.035425
ros-foxy-rcl	1.1.14-1focal.20230527.050329
ros-foxy-rcl-action	1.1.14-1focal.20230527.051024
ros-foxy-rcl-interfaces	1.0.0-1focal.20230527.044147
ros-foxy-rcl-lifecycle	1.1.14-1focal.20230527.051051
ros-foxy-rcl-logging-spdlog	1.1.0-1focal.20230527.040756
ros-foxy-rcl-yaml-param-parser	1.1.14-1focal.20230527.041257
ros-foxy-rclcpp	2.4.3-1focal.20230527.051415
ros-foxy-rclcpp-action	2.4.3-1focal.20230527.053814
ros-foxy-rclcpp-components	2.4.3-1focal.20230527.053812
ros-foxy-rclcpp-lifecycle	2.4.3-1focal.20230527.053813
ros-foxy-rclpy	1.0.13-1focal.20230527.051412
ros-foxy-rcpputils	1.3.2-1focal.20230527.040309
ros-foxy-rcutils	1.1.5-1focal.20230527.035733
ros-foxy-rmw	1.0.4-1focal.20230527.040801
ros-foxy-rmw-dds-common	1.0.3-1focal.20230527.044005
ros-foxy-rmw-fastrtps-cpp	1.3.2-1focal.20230527.045658
ros-foxy-rmw-fastrtps-shared-cpp	1.3.2-1focal.20230527.044759
ros-foxy-rmw-implementation	1.0.3-1focal.20230527.050044
ros-foxy-rmw-implementation-cmake	1.0.4-1focal.20230527.035429
ros-foxy-robot-state-publisher	2.4.5-1focal.20230606.034917
ros-foxy-ros-base	0.9.2-1focal.20230606.035837
ros-foxy-ros-core	0.9.2-1focal.20230527.064030
ros-foxy-ros-environment	2.5.1-1focal.20230527.033325
ros-foxy-ros-workspace	1.0.2-1focal.20230527.032747
ros-foxy-ros2action	0.9.13-1focal.20230527.052737
ros-foxy-ros2bag	0.3.11-1focal.20230531.181845
ros-foxy-ros2cli	0.9.13-1focal.20230527.052009
ros-foxy-ros2component	0.9.13-1focal.20230527.054727
ros-foxy-ros2doctor	0.9.13-1focal.20230527.052802
ros-foxy-ros2interface	0.9.13-1focal.20230527.052807
ros-foxy-ros2launch	0.11.7-1focal.20230527.053001
ros-foxy-ros2lifecycle	0.9.13-1focal.20230527.063130
ros-foxy-ros2multicast	0.9.13-1focal.20230527.052239
ros-foxy-ros2node	0.9.13-1focal.20230527.052809
ros-foxy-ros2param	0.9.13-1focal.20230527.053234
ros-foxy-ros2pkg	0.9.13-1focal.20230527.052813
ros-foxy-ros2run	0.9.13-1focal.20230527.053005
ros-foxy-ros2service	0.9.13-1focal.20230527.052820
ros-foxy-ros2topic	0.9.13-1focal.20230527.052817
ros-foxy-rosbag2	0.3.11-1focal.20230531.182405
ros-foxy-rosbag2-compression	0.3.11-1focal.20230531.180822
ros-foxy-rosbag2-converter-default-plugins	0.3.11-1focal.20230531.180822
ros-foxy-rosbag2-cpp	0.3.11-1focal.20230531.180409
ros-foxy-rosbag2-storage	0.3.11-1focal.20230531.175921
ros-foxy-rosbag2-storage-default-plugins	0.3.11-1focal.20230531.180611
ros-foxy-rosbag2-transport	0.3.11-1focal.20230531.181114
ros-foxy-rosgraph-msgs	1.0.0-1focal.20230527.044114
ros-foxy-rosidl-adapter	1.3.1-1focal.20230527.035912
ros-foxy-rosidl-cmake	1.3.1-1focal.20230527.040133
ros-foxy-rosidl-default-generators	1.0.1-1focal.20230527.043401
ros-foxy-rosidl-default-runtime	1.0.1-1focal.20230527.043504
ros-foxy-rosidl-generator-c	1.3.1-1focal.20230527.040645
ros-foxy-rosidl-generator-cpp	1.3.1-1focal.20230527.040726
ros-foxy-rosidl-generator-py	0.9.7-1focal.20230527.042900
ros-foxy-rosidl-parser	1.3.1-1focal.20230527.035942
ros-foxy-rosidl-runtime-c	1.3.1-1focal.20230527.040236
ros-foxy-rosidl-runtime-cpp	1.3.1-1focal.20230527.035847
ros-foxy-rosidl-runtime-py	0.9.1-1focal.20230527.045800
ros-foxy-rosidl-typesupport-c	1.0.3-1focal.20230527.041518
ros-foxy-rosidl-typesupport-cpp	1.0.3-1focal.20230527.041729
ros-foxy-rosidl-typesupport-fastrtps-c	1.0.4-1focal.20230527.042305
ros-foxy-rosidl-typesupport-fastrtps-cpp	1.0.4-1focal.20230527.042012
ros-foxy-rosidl-typesupport-interface	1.3.1-1focal.20230527.035917
ros-foxy-rosidl-typesupport-introspection-c	1.3.1-1focal.20230527.040649
ros-foxy-rosidl-typesupport-introspection-cpp	1.3.1-1focal.20230527.040723
ros-foxy-rpyutils	0.2.0-1focal.20230527.034059
ros-foxy-sensor-msgs	2.0.5-1focal.20230527.050830
ros-foxy-shape-msgs	2.0.5-1focal.20230527.051353
ros-foxy-shared-queues-vendor	0.3.11-1focal.20230531.174659
ros-foxy-spdlog-vendor	1.1.3-1focal.20230527.035447
ros-foxy-sqlite3-vendor	0.3.11-1focal.20230531.175149
ros-foxy-sros2	0.9.5-1focal.20230527.052820
ros-foxy-sros2-cmake	0.9.5-1focal.20230527.053024
ros-foxy-statistics-msgs	1.0.0-1focal.20230527.044115
ros-foxy-std-msgs	2.0.5-1focal.20230527.044919
ros-foxy-std-srvs	2.0.5-1focal.20230527.043944
ros-foxy-stereo-msgs	2.0.5-1focal.20230527.052604
ros-foxy-tf2	0.13.14-1focal.20230527.051426
ros-foxy-tf2-bullet	0.13.14-1focal.20230606.034924
ros-foxy-tf2-eigen	0.13.14-1focal.20230606.035027
ros-foxy-tf2-geometry-msgs	0.13.14-1focal.20230606.035033
ros-foxy-tf2-kdl	0.13.14-1focal.20230606.035047
ros-foxy-tf2-msgs	0.13.14-1focal.20230527.050829
ros-foxy-tf2-py	0.13.14-1focal.20230527.052045
ros-foxy-tf2-ros	0.13.14-1focal.20230606.034417
ros-foxy-tf2-sensor-msgs	0.13.14-1focal.20230606.035100
ros-foxy-tf2-tools	0.13.14-1focal.20230606.035129
ros-foxy-tinyxml-vendor	0.8.2-1focal.20230527.034005
ros-foxy-tinyxml2-vendor	0.7.4-1focal.20230527.034003
ros-foxy-tracetools	1.0.5-2focal.20230527.035811
ros-foxy-trajectory-msgs	2.0.5-1focal.20230527.051434
ros-foxy-uncrustify-vendor	1.4.0-1focal.20230527.034017
ros-foxy-unique-identifier-msgs	2.1.3-1focal.20230527.043808
ros-foxy-urdf	2.4.0-2focal.20230527.040328
ros-foxy-urdfdom	2.3.3-1focal.20230527.040139
ros-foxy-urdfdom-headers	1.0.5-1focal.20230527.033203
ros-foxy-visualization-msgs	2.0.5-1focal.20230527.051643
ros-foxy-yaml-cpp-vendor	7.0.3-1focal.20230527.034033
ros-foxy-zstd-vendor	0.3.11-1focal.20230531.174848
sbsigntool	0.9.2-2ubuntu1.1
secureboot-db	1.5
sed	4.7-1
sensible-utils	0.0.12+nmu1
sg3-utils	1.44-1ubuntu2
sgml-base	1.29.1
shared-mime-info	1.15-1
snapd	2.67.1+20.04
sosreport	4.8.2-0ubuntu0~20.04.1
sound-theme-freedesktop	0.8-2ubuntu1
squashfs-tools	1:4.4-1ubuntu0.3
ssh-import-id	5.10-0ubuntu1
sudo	1.8.31-1ubuntu1.5
systemd	245.4-4ubuntu3.24
systemd-sysv	245.4-4ubuntu3.24
systemd-timesyncd	245.4-4ubuntu3.24
sysvinit-utils	2.96-2.1ubuntu1
tar	1.30+dfsg-7ubuntu0.20.04.4
tcl	8.6.9+1
tcl-dev:amd64	8.6.9+1
tcl-vtk7	7.1.1+dfsg2-2ubuntu1
tcl8.6	8.6.10+dfsg-1
tcl8.6-dev:amd64	8.6.10+dfsg-1
thin-provisioning-tools	0.8.5-4build1
tk	8.6.9+1
tk-dev:amd64	8.6.9+1
tk8.6	8.6.10-1
tk8.6-dev:amd64	8.6.10-1
tpm-udev	0.4
tzdata	2025b-0ubuntu0.20.04.1
ubuntu-advantage-tools	35.1ubuntu0~20.04
ubuntu-keyring	2020.02.11.4
ubuntu-mono	19.04-0ubuntu3
ubuntu-pro-client	35.1ubuntu0~20.04
ubuntu-pro-client-l10n	35.1ubuntu0~20.04
ubuntu-release-upgrader-core	1:20.04.41
ucf	3.0038+nmu1
udev	245.4-4ubuntu3.24
unattended-upgrades	2.3ubuntu0.3
uncrustify	0.69.0+dfsg1-1build1
unixodbc-dev:amd64	2.3.6-0.1ubuntu0.1
update-manager-core	1:20.04.10.23
update-notifier-common	3.192.30.19
util-linux	2.34-0.1ubuntu9.6
uuid-dev:amd64	2.34-0.1ubuntu9.6
vtk7	7.1.1+dfsg2-2ubuntu1
wget	1.20.3-1ubuntu2.1
x11-common	1:7.7+19ubuntu14
x11proto-core-dev	2019.2-1ubuntu1
x11proto-dev	2019.2-1ubuntu1
x11proto-scrnsaver-dev	2019.2-1ubuntu1
x11proto-xext-dev	2019.2-1ubuntu1
xfsprogs	5.3.0-1ubuntu2.1
xkb-data	2.29-2
xml-core	0.18+nmu1
xorg-sgml-doctools	1:1.11-1
xtrans-dev	1.4.0-1
xxd	2:8.1.2269-1ubuntu5.32
xz-utils	5.2.4-1ubuntu1.1
zerofree	1.1.1-1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu1.5
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu1.5
